TYPE,SOURCE,EDGES,TARGET
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentUpload/GetListOfUploadedContentXQuery,CALL,GetListOfUploadedContent
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentUpload/DeleteUploadedContentXQuery,CALL,DeleteUploadedContent
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/Initialize/InitiallyConfigureAssetVisibilityXQuery,CALL,InitiallyConfigureAssetVisibility
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentDefinition/UpdateReportNameXQuery,CALL,UpdateReportName
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentDefinition/DeleteReportXQuery,CALL,DeleteReport
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/ReportLayoutDefinitionXQuery,CALL,ReportLayoutDefinition
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/MultiTagCurrentDataCombinerXQuery,CALL,MultiTagCurrentDataCombiner
TRX,SaoMartinho/global/Transactions/XML_LOG_SEND,QUERY,INTERFACES
TRX,SaoMartinho/global/Transactions/XML_LOG_SEND,QUERY,ERROS
TRX,SaoMartinho/global/Transactions/XML_LOG_SEND,QUERY,UPDATE_LOGS
TRX,SaoMartinho/global/Transactions/XML_LOG_SEND,QUERY,UPDATE_INTERFACE
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirEquipamento,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirEquipamento
TRX,UBV_COI/Ocorrencias/updateEquipamento,QUERY,UBV_COI/Ocorrencias/SP_UpdateEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateOcorrenciaArquivo,PROC,UBV_COI_OCORRENCIAS.SP_UpdateOcorrenciaArquivo
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEquipamentosSql,SELECT,UBV_EQUIPAMENTO
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEquipamentosSql,SELECT,UBV_EQUIPAMENTO
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEquipamentosSql,SELECT,T
TRX,UBV_COI/Ocorrencias/deleteAnexoOcorr,QUERY,UBV_COI/Ocorrencias/SP_UpdateOcorrencia
TRX,UBV_COI/Ocorrencias/excluirComentario,QUERY,UBV_COI/Ocorrencias/SP_ExcluirComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getAreas,SELECT,UBV_AREA
TRX,UBV_COI/Ocorrencias/excluirEmail,QUERY,UBV_COI/Ocorrencias/SP_ExcluirEmail
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirComentario,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorAreas,SELECT,UBV_OCORRENCIA_COI
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorAreas,SELECT,UBV_AREA
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InserirEquipamento,PROC,UBV_COI_OCORRENCIAS.SP_InserirEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorMotivos,SELECT,UBV_OCORRENCIA_COI
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorMotivos,SELECT,UBV_MOTIVO_OCORRENCIA
TRX,UBV_COI/Ocorrencias/updateOcorrenciaArquivo,QUERY,UBV_COI/Ocorrencias/SP_UpdateOcorrenciaArquivo
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirOcorrencia,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirOcorrencia
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorStatus,SELECT,UBV_OCORRENCIA_COI
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorStatus,SELECT,UBV_STATUS_OCORRENCIA
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InserirComentario,PROC,UBV_COI_OCORRENCIAS.SP_InserirComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirEmail,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirEmail
TRX,UBV_COI/Ocorrencias/deleteOcorrencia,QUERY,UBV_COI/Ocorrencias/SP_ExcluirOcorrencia
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/Untitled,SELECT,UBV_EQUIPAMENTO
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/Untitled,SELECT,UBV_EQUIPAMENTO
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getComentarios,SELECT,UBV_OBSERVACAO_OCORRENCIA
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getTurnos,SELECT,UBV_TURNO
TRX,UBV_COI/Ocorrencias/getOcorrencias,QUERY,UBV_COI/Ocorrencias/SP_GetOcorrencias
TRX,UBV_COI/Ocorrencias/updateComentario,QUERY,UBV_COI/Ocorrencias/SP_UpdateComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_GetOcorrencias,PROC,UBV_COI_OCORRENCIAS.SP_GetOcorrencias
TRX,UBV_COI/Ocorrencias/fecharTurno,QUERY,UBV_COI/Ocorrencias/SP_GetOcorrencias
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InseriOcorrencia,PROC,UBV_COI_OCORRENCIAS.SP_InseriOcorrencia
TRX,UBV_COI/Ocorrencias/inserirEquipamento,QUERY,UBV_COI/Ocorrencias/SP_InserirEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEmails,SELECT,UBV_AREA_EMAIL
TRX,UBV_COI/Ocorrencias/inserirComentario,QUERY,UBV_COI/Ocorrencias/SP_InserirComentario
TRX,UBV_COI/Ocorrencias/inserirEmail,QUERY,UBV_COI/Ocorrencias/SP_InserirEmail
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateOcorrencia,PROC,UBV_COI_OCORRENCIAS.SP_UpdateOcorrencia
TRX,UBV_COI/Ocorrencias/inserirOcorrencia,QUERY,UBV_COI/Ocorrencias/SP_InseriOcorrencia
TRX,UBV_COI/Ocorrencias/getEquipamentos,QUERY,UBV_COI/Ocorrencias/getEquipamentosSql
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getStatus,SELECT,UBV_STATUS_OCORRENCIA
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateEquipamento,PROC,UBV_COI_OCORRENCIAS.SP_UpdateEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEquipamentosCombo,SELECT,UBV_EQUIPAMENTO
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateComentario,PROC,UBV_COI_OCORRENCIAS.SP_UpdateComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorrenciasArquivos,SELECT,UBV_OCORRENCIA_COI
TRX,UBV_COI/Ocorrencias/getOcorrenciasCSV,QUERY,UBV_COI/Ocorrencias/SP_GetOcorrencias
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InserirEmail,PROC,UBV_COI_OCORRENCIAS.SP_InserirEmail
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getMotivos,SELECT,UBV_MOTIVO_OCORRENCIA
TRX,UBV_COI/Ocorrencias/updateOcorrencia,CALL,UBV_COI/importacao/publich_file
TRX,UBV_COI/Ocorrencias/updateOcorrencia,QUERY,UBV_COI/Ocorrencias/SP_UpdateOcorrencia
TRX,UBV_COI/Ocorrencias/excluirEquipamento,QUERY,UBV_COI/Ocorrencias/SP_ExcluirEquipamento
TQXC,/Predefined/Predefined/TransactionFolderListQuery,CALL,
TQXC,/Predefined/Predefined/TransactionOutputListQuery,CALL,
TQXC,/Predefined/Predefined/TransactionInputListQuery,CALL,
TQXC,/Predefined/Predefined/TransactionListQuery,CALL,
TRX,MOBILE/Transaction/TrxMoagemUsinas,QUERY,MOBILE/Query/SqlMoagemUBVFixedQuery
TRX,MOBILE/Transaction/TrxMoagemUsinasBKP,QUERY,MOBILE/Query/SqlMoagemUBVFixedQuery
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUBVFixedQuery,SELECT,APT_CARGAS
TQXC,/MOBILE/MOBILE/Query/TrxMoagemXct,CALL,TrxMoagem
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUSCFixedQuery,SELECT,APT_CARGAS
TQXC,/MOBILE/MOBILE/Query/TrxMoagemUsinasXct,CALL,TrxMoagemUsinas
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUSMFixedQuery,SELECT,APT_CARGAS
TQXC,/MOBILE/MOBILE/Query/TrxGeraCOIXct,CALL,TrxGeraCOI
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUIRFixedQuery,SELECT,APT_CARGAS
TRX,SaoMartinho/PE/Transaction/SafraCommand,QUERY,Command
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,QUERY,RelatorioMetricasSelectQuery
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/PE/Transaction/SafraInfoTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/global/Transactions/SafraInfoTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,QUERY,SaoMartinho/global/Queries/BuscaVersaoPrevistoMetaSelectQuery
TRX,SaoMartinho/PE/Transaction/trxSafraPercentPE,QUERY,SaoMartinho/PE/Query/safraPercentPESelectQuery
TRX,SaoMartinho/PE/Transaction/trxSafraPercentPE,QUERY,METC/Agendamento/VerificarSafraAnoPE
TRX,SaoMartinho/PE/Transaction/ComboTransaction,QUERY,SaoMartinho/PE/Query/SafraListSelectQuery
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,CALL,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,CALL,SaoMartinho/PE/Transaction/ComboTransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,CALL,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,CALL,SaoMartinho/PE/Transaction/ComboTransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,CALL,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,QUERY,SaoMartinho/global/Queries/BuscaVersaoPrevistoMetaSelectQuery
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,CALL,SaoMartinho/PE/Transaction/SafraInfoTransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,QUERY,SaoMartinho/global/Queries/BuscaVersaoPrevistoMetaSelectQuery
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,QUERY,SaoMartinho/global/Queries/BuscaVersaoPrevistoMetaSelectQuery
TRX,SaoMartinho/PE/Transaction/SafraInfoTransaction,QUERY,SaoMartinho/PE/Query/SafraSelectQuery
TQXC,/SaoMartinho/SaoMartinho/PE/Query/XacuteSafraPercentPE,CALL,trxSafraPercentPE
TQXC,/SaoMartinho/SaoMartinho/PE/Query/SafraInfoXacuteQuery,CALL,SafraInfoTransaction
TQXC,/SaoMartinho/SaoMartinho/PE/Query/PlanoRelatorioPEXacuteQuery,CALL,PlanoRelatorioPETransaction
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraListSelectQuery,SELECT,UBVISTA.UBV_SAFRA_DATAS_PE
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraAllSelectQuery,SELECT,UBV_SAFRA_DATAS_PE
TQXC,/SaoMartinho/SaoMartinho/PE/Query/ComboXacuteQuery,CALL,ComboTransaction
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraInfoFimSelectQuery,SELECT,UBV_SAFRA_DATAS_PE
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraInfoFimSelectQuery,SELECT,DUAL
TQXC,/SaoMartinho/SaoMartinho/PE/Query/PlanoGraficoHistoricoPEXacuteQuery,CALL,PlanoGraficoHistoricoPETransaction
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraSelectQuery,SELECT,UBVISTA.UBV_SAFRA_DATAS_PE
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/safraPercentPESelectQuery,SELECT,UBV_SAFRA_DATAS
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/safraPercentPESelectQuery,SELECT,AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/safraPercentPESelectQuery,SELECT,UBVISTA.UBV_META
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/safraPercentPESelectQuery,SELECT,DUAL
TQXC,/SaoMartinho/SaoMartinho/PE/Query/SafraCommandXacuteQuery,CALL,SafraCommand
TQXC,/SaoMartinho/SaoMartinho/GDE/Queries/IndicadorXacuteQuery,CALL,GridTransaction
TQXC,/SaoMartinho/SaoMartinho/GDE/Queries/IndicadorMobileXacuteQuery,CALL,GridTransactionMobile
TQXC,/SaoMartinho/SaoMartinho/GDE/Queries/IndicadorHistoricoXacuteQuery,CALL,ChartTransaction
TQSQ,/SaoMartinho/SaoMartinho/GDE/Queries/CanaHistoricoSelectQuery,SELECT,UBVISTA.SAP_ZCAN01
TRX,SaoMartinho/GDE/Transactions/ChartTransaction,QUERY,SaoMartinho/GDE/Queries/CanaHistoricoSelectQuery
TRX,SaoMartinho/GDE/Transactions/ChartTransaction,QUERY,SaoMartinho/GDE/Queries/IndicadoresSelectQuery
TRX,SaoMartinho/GDE/Transactions/GridTransaction,QUERY,SaoMartinho/GDE/Queries/IndicadoresSelectQuery
TRX,SaoMartinho/GDE/Transactions/GridTransactionMobile,QUERY,SaoMartinho/GDE/Queries/IndicadoresSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,UBV_MATERIAL_INSUMOS
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,UBV_INSUMOS_PREVISTO
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,UBVISTA.UBV_PLANO_SAFRA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,UBVISTA.UBV_META
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,METRICA.AP_METRICGROUP
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,METRICA.AP_METRICDEFINITIONS
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,METRICA.MES_UNIDADEMEDIDA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,SELECT,METRICA.AP_INDIC_FORMULA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/GrupoSelectQuery,SELECT,METRICA.AP_GROUP
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,UBVISTA.UBV_PLANO_SAFRA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,METRICA.AP_METRICDEFINITIONS
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,METRICA.AP_INDIC_FORMULA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/QueryMetricaOut,SELECT,METRICA.AP_METRICDEFINITIONS
TQXC,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioXacuteQuery,CALL,PlanoRelatorioTransaction
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,UBVISTA.UBV_PLANO_SAFRA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,METRICA.AP_METRICDEFINITIONS
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,METRICA.AP_INDIC_FORMULA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,UBVISTA.UBV_PLANO_SAFRA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,METRICA.AP_METRICDEFINITIONS
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,METRICA.AP_INDIC_FORMULA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/persistirGrupo,PROC,PKG_INDICADORGRUPO.SP_PersistirGrupo
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/QueryMetricaIn,SELECT,METRICA.AP_METRICGROUP
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/QueryMetricaIn,SELECT,METRICA.AP_METRICDEFINITIONS
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/InsertIndicadorGrupo,INSERT,METRICA.AP_METRICGROUP
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQuery,PROC,PKG_INDICADOR.SP_GetHistorico
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/CadastroGrupoSelect,SELECT,METRICA.AP_GROUP
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,QUERY,RelatorioMetricasSelectQuery
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/SafraInfoTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/SafraInfoTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,QUERY,SaoMartinho/global/Queries/BuscaVersaoPrevistoMetaSelectQuery
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction_BKP,QUERY,RelatorioMetricasSelectQuery
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction_BKP,CALL,SaoMartinho/global/Transactions/SafraInfoTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction_BKP,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction_BKP,CALL,SaoMartinho/global/Transactions/SafraInfoTransaction
