Type,FullName,Label
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentUpload/GetListOfUploadedContentXQuery,GetListOfUploadedContentXQuery
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentUpload/DeleteUploadedContentXQuery,DeleteUploadedContentXQuery
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/Initialize/InitiallyConfigureAssetVisibilityXQuery,InitiallyConfigureAssetVisibilityXQuery
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentDefinition/UpdateReportNameXQuery,UpdateReportNameXQuery
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/Configuration/ContentDefinition/DeleteReportXQuery,DeleteReportXQuery
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/ReportLayoutDefinitionXQuery,ReportLayoutDefinitionXQuery
TQXC,/SAP/SAP/Manufacturing/CompositeApplications/AssetVisibility/MultiTagCurrentDataCombinerXQuery,MultiTagCurrentDataCombinerXQuery
TRX,SaoMartinho/global/Transactions/XML_LOG_SEND,XML_LOG_SEND
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirEquipamento,SP_ExcluirEquipamento
TRX,UBV_COI/Ocorrencias/updateEquipamento,updateEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateOcorrenciaArquivo,SP_UpdateOcorrenciaArquivo
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEquipamentosSql,getEquipamentosSql
TRX,UBV_COI/Ocorrencias/deleteAnexoOcorr,deleteAnexoOcorr
TRX,UBV_COI/Ocorrencias/excluirComentario,excluirComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getAreas,getAreas
TRX,UBV_COI/Ocorrencias/excluirEmail,excluirEmail
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirComentario,SP_ExcluirComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorAreas,getOcorPorAreas
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InserirEquipamento,SP_InserirEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorMotivos,getOcorPorMotivos
TRX,UBV_COI/Ocorrencias/updateOcorrenciaArquivo,updateOcorrenciaArquivo
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirOcorrencia,SP_ExcluirOcorrencia
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorPorStatus,getOcorPorStatus
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InserirComentario,SP_InserirComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_ExcluirEmail,SP_ExcluirEmail
TRX,UBV_COI/Ocorrencias/deleteOcorrencia,deleteOcorrencia
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/Untitled,Untitled
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getComentarios,getComentarios
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getTurnos,getTurnos
TRX,UBV_COI/Ocorrencias/getOcorrencias,getOcorrencias
TRX,UBV_COI/Ocorrencias/updateComentario,updateComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_GetOcorrencias,SP_GetOcorrencias
TRX,UBV_COI/Ocorrencias/fecharTurno,fecharTurno
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InseriOcorrencia,SP_InseriOcorrencia
TRX,UBV_COI/Ocorrencias/inserirEquipamento,inserirEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEmails,getEmails
TRX,UBV_COI/Ocorrencias/inserirComentario,inserirComentario
TRX,UBV_COI/Ocorrencias/inserirEmail,inserirEmail
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateOcorrencia,SP_UpdateOcorrencia
TRX,UBV_COI/Ocorrencias/inserirOcorrencia,inserirOcorrencia
TRX,UBV_COI/Ocorrencias/getEquipamentos,getEquipamentos
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getStatus,getStatus
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateEquipamento,SP_UpdateEquipamento
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getEquipamentosCombo,getEquipamentosCombo
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_UpdateComentario,SP_UpdateComentario
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getOcorrenciasArquivos,getOcorrenciasArquivos
TRX,UBV_COI/Ocorrencias/getOcorrenciasCSV,getOcorrenciasCSV
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/SP_InserirEmail,SP_InserirEmail
TQSQ,/UBV_COI/UBV_COI/Ocorrencias/getMotivos,getMotivos
TRX,UBV_COI/Ocorrencias/updateOcorrencia,updateOcorrencia
TRX,UBV_COI/Ocorrencias/excluirEquipamento,excluirEquipamento
TRX,MOBILE/Transaction/TrxMoagemUsinas,TrxMoagemUsinas
TRX,MOBILE/Transaction/TrxMoagemUsinasBKP,TrxMoagemUsinasBKP
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUBVFixedQuery,SqlMoagemUBVFixedQuery
TQXC,/MOBILE/MOBILE/Query/TrxMoagemXct,TrxMoagemXct
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUSCFixedQuery,SqlMoagemUSCFixedQuery
TQXC,/MOBILE/MOBILE/Query/TrxMoagemUsinasXct,TrxMoagemUsinasXct
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUSMFixedQuery,SqlMoagemUSMFixedQuery
TQXC,/MOBILE/MOBILE/Query/TrxGeraCOIXct,TrxGeraCOIXct
TQSQ,/MOBILE/MOBILE/Query/SqlMoagemUIRFixedQuery,SqlMoagemUIRFixedQuery
TRX,SaoMartinho/PE/Transaction/SafraCommand,SafraCommand
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,PlanoRelatorioPETransaction
TRX,SaoMartinho/PE/Transaction/trxSafraPercentPE,trxSafraPercentPE
TRX,SaoMartinho/PE/Transaction/ComboTransaction,ComboTransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,PlanoGraficoHistoricoPETransaction
TRX,SaoMartinho/PE/Transaction/SafraInfoTransaction,SafraInfoTransaction
TQXC,/SaoMartinho/SaoMartinho/PE/Query/XacuteSafraPercentPE,XacuteSafraPercentPE
TQXC,/SaoMartinho/SaoMartinho/PE/Query/SafraInfoXacuteQuery,SafraInfoXacuteQuery
TQXC,/SaoMartinho/SaoMartinho/PE/Query/PlanoRelatorioPEXacuteQuery,PlanoRelatorioPEXacuteQuery
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraListSelectQuery,SafraListSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraAllSelectQuery,SafraAllSelectQuery
TQXC,/SaoMartinho/SaoMartinho/PE/Query/ComboXacuteQuery,ComboXacuteQuery
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraInfoFimSelectQuery,SafraInfoFimSelectQuery
TQXC,/SaoMartinho/SaoMartinho/PE/Query/PlanoGraficoHistoricoPEXacuteQuery,PlanoGraficoHistoricoPEXacuteQuery
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/SafraSelectQuery,SafraSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/PE/Query/safraPercentPESelectQuery,safraPercentPESelectQuery
TQXC,/SaoMartinho/SaoMartinho/PE/Query/SafraCommandXacuteQuery,SafraCommandXacuteQuery
TQXC,/SaoMartinho/SaoMartinho/GDE/Queries/IndicadorXacuteQuery,IndicadorXacuteQuery
TQXC,/SaoMartinho/SaoMartinho/GDE/Queries/IndicadorMobileXacuteQuery,IndicadorMobileXacuteQuery
TQXC,/SaoMartinho/SaoMartinho/GDE/Queries/IndicadorHistoricoXacuteQuery,IndicadorHistoricoXacuteQuery
TQSQ,/SaoMartinho/SaoMartinho/GDE/Queries/CanaHistoricoSelectQuery,CanaHistoricoSelectQuery
TRX,SaoMartinho/GDE/Transactions/ChartTransaction,ChartTransaction
TRX,SaoMartinho/GDE/Transactions/GridTransaction,GridTransaction
TRX,SaoMartinho/GDE/Transactions/GridTransactionMobile,GridTransactionMobile
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasSelectQueryIPA,PlanoRelatorioMetricasSelectQueryIPA
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/GrupoSelectQuery,GrupoSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoSemanaSelectQuery,PlanoRelatorioMetricasHistoricoSemanaSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/QueryMetricaOut,QueryMetricaOut
TQXC,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioXacuteQuery,PlanoRelatorioXacuteQuery
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoMesSelectQuery,PlanoRelatorioMetricasHistoricoMesSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/PlanoRelatorioMetricasHistoricoDiaSelectQuery,PlanoRelatorioMetricasHistoricoDiaSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/IPA/Queries/persistirGrupo,persistirGrupo
