SOURCE_TYPE,SOURCE_NAME,EDGES,TARGET_TYPE,TARGET_NAME
TQXC,GetListOfUploadedContentXQuery,CALL,TRX,GetListOfUploadedContent
TQXC,DeleteUploadedContentXQuery,CALL,TRX,DeleteUploadedContent
TQXC,InitiallyConfigureAssetVisibilityXQuery,CALL,TRX,InitiallyConfigureAssetVisibility
TQXC,UpdateReportNameXQuery,CALL,TRX,UpdateReportName
TQXC,DeleteReportXQuery,CALL,TRX,DeleteReport
TQXC,ReportLayoutDefinitionXQuery,CALL,TRX,ReportLayoutDefinition
TQXC,MultiTagCurrentDataCombinerXQuery,CALL,TRX,MultiTagCurrentDataCombiner
TRX,XML_LOG_SEND,QUERY,TQSQ,INTERFACES
TRX,XML_LOG_SEND,QUERY,TQSQ,ERROS
TRX,XML_LOG_SEND,QUERY,TQSQ,UPDATE_LOGS
TRX,XML_LOG_SEND,QUERY,TQSQ,UPDATE_INTERFACE
TQSQ,SP_ExcluirEquipamento,PROC,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirEquipamento
TRX,updateEquipamento,QUERY,TQSQ,SP_UpdateEquipamento
TQSQ,SP_UpdateOcorrenciaArquivo,PROC,PROC,UBV_COI_OCORRENCIAS.SP_UpdateOcorrenciaArquivo
TQSQ,getEquipamentosSql,SELECT,TABLE,UBV_EQUIPAMENTO
TQSQ,getEquipamentosSql,SELECT,TABLE,T
TRX,deleteAnexoOcorr,QUERY,TQSQ,SP_UpdateOcorrencia
TRX,excluirComentario,QUERY,TQSQ,SP_ExcluirComentario
TQSQ,getAreas,SELECT,TABLE,UBV_AREA
TRX,excluirEmail,QUERY,TQSQ,SP_ExcluirEmail
TQSQ,SP_ExcluirComentario,PROC,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirComentario
TQSQ,getOcorPorAreas,SELECT,TABLE,UBV_OCORRENCIA_COI
TQSQ,getOcorPorAreas,SELECT,TABLE,UBV_AREA
TQSQ,SP_InserirEquipamento,PROC,PROC,UBV_COI_OCORRENCIAS.SP_InserirEquipamento
TQSQ,getOcorPorMotivos,SELECT,TABLE,UBV_OCORRENCIA_COI
TQSQ,getOcorPorMotivos,SELECT,TABLE,UBV_MOTIVO_OCORRENCIA
TRX,updateOcorrenciaArquivo,QUERY,TQSQ,SP_UpdateOcorrenciaArquivo
TQSQ,SP_ExcluirOcorrencia,PROC,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirOcorrencia
TQSQ,getOcorPorStatus,SELECT,TABLE,UBV_OCORRENCIA_COI
TQSQ,getOcorPorStatus,SELECT,TABLE,UBV_STATUS_OCORRENCIA
TQSQ,SP_InserirComentario,PROC,PROC,UBV_COI_OCORRENCIAS.SP_InserirComentario
TQSQ,SP_ExcluirEmail,PROC,PROC,UBV_COI_OCORRENCIAS.SP_ExcluirEmail
TRX,deleteOcorrencia,QUERY,TQSQ,SP_ExcluirOcorrencia
TQSQ,Untitled,SELECT,TABLE,UBV_EQUIPAMENTO
TQSQ,getComentarios,SELECT,TABLE,UBV_OBSERVACAO_OCORRENCIA
TQSQ,getTurnos,SELECT,TABLE,UBV_TURNO
TRX,getOcorrencias,QUERY,TQSQ,SP_GetOcorrencias
TRX,updateComentario,QUERY,TQSQ,SP_UpdateComentario
TQSQ,SP_GetOcorrencias,PROC,PROC,UBV_COI_OCORRENCIAS.SP_GetOcorrencias
TRX,fecharTurno,QUERY,TQSQ,SP_GetOcorrencias
TQSQ,SP_InseriOcorrencia,PROC,PROC,UBV_COI_OCORRENCIAS.SP_InseriOcorrencia
