Type,Label
PROC,UBV_COI_OCORRENCIAS.SP_ExcluirEquipamento
PROC,UBV_COI_OCORRENCIAS.SP_UpdateOcorrenciaArquivo
PROC,UBV_COI_OCORRENCIAS.SP_ExcluirComentario
PROC,UBV_COI_OCORRENCIAS.SP_InserirEquipamento
PROC,UBV_COI_OCORRENCIAS.SP_ExcluirOcorrencia
PROC,UBV_COI_OCORRENCIAS.SP_InserirComentario
PROC,UBV_COI_OCORRENCIAS.SP_ExcluirEmail
PROC,UBV_COI_OCORRENCIAS.SP_GetOcorrencias
PROC,UBV_COI_OCORRENCIAS.SP_InseriOcorrencia
PROC,UBV_COI_OCORRENCIAS.SP_UpdateOcorrencia
PROC,UBV_COI_OCORRENCIAS.SP_UpdateEquipamento
PROC,UBV_COI_OCORRENCIAS.SP_UpdateComentario
PROC,UBV_COI_OCORRENCIAS.SP_InserirEmail
PROC,PKG_INDICADORGRUPO.SP_PersistirGrupo
PROC,PKG_INDICADOR.SP_GetHistorico
PROC,PKG_ENTCANA.ECResumoTotalDiario
PROC,PKG_ENTCANA.ECResumoTotalHorario
PROC,PKG_LABORATORIO.SP_DELETE_QUALIDADE
PROC,PKG_LABORATORIO.SP_UPDATE_QUALIDADE
PROC,PKG_LABORATORIO.SP_INSERT_QUALIDADE
PROC,PKG_PAINEL_ANALITICO.SP_CADASTROMATERIAL
PROC,PKG_PAINEL_ANALITICO.SP_CADASTROCARACTERISTICA
PROC,PKG_PAINEL_ANALITICO.SP_CADASTROENSAIO
PROC,PKG_PAINEL_ANALITICO.SP_CADASTROGRUPO
PROC,PKG_PAINEL_ANALITICO.SP_CADASTROSUBGRUPO
PROC,PKG_LABORATORIO.SP_GET_QUALIDADE_PERIODO
PROC,PKG_USM_PAINEL.SP_LIMPA_LOG
PROC,PKG_USM_PAINEL.SP_SELECT_GRUPO
PROC,PKG_USM_PAINEL.SP_SELECT_CARAC_TABELA
PROC,PKG_USM_PAINEL.SP_GET_PAINEL_SETOR
PROC,PKG_USM_PAINEL.SP_INSERIR_CARAC_AREA
PROC,PKG_USM_PAINEL.SP_INSERT_INDICADOR_PREVI
PROC,PKG_USM_PAINEL.SP_SELECT_CARAC_AREA
PROC,PKG_USM_PAINEL.SP_INSERIR_MATERIAL
PROC,PKG_USM_PAINEL.SP_INSERT_SETOR
PROC,PKG_USM_PAINEL.SP_SELECT_GRP_CARAC
PROC,PKG_USM_PAINEL.SP_GET_PAINEL_AREA
PROC,PKG_USM_PAINEL.SP_INSERT_AREA
PROC,PKG_USM_PAINEL.SP_SELECT_ENSAIO_LIMITE
PROC,PKG_USM_PAINEL.SP_INSERIR_TP_ANALISE
PROC,PKG_USM_PAINEL.SP_SELECT_AREA_SETOR
PROC,PKG_USM_PAINEL.SP_INSERIR_RESULTADO
PROC,PKG_USM_PAINEL.SP_SELECT_DIRETRIZ
PROC,PKG_USM_PAINEL.SP_SELECT_PAINEL_CARAC
PROC,PKG_USM_PAINEL.SP_SELECT_GRP_ANALISE
PROC,PKG_USM_PAINEL.SP_SELECT_ENSAIO_GRP
PROC,PKG_USM_PAINEL.SP_UPDATE_DIRETRIZ
PROC,PKG_USM_PAINEL.SP_SELECT_PAINEL_VALOR
PROC,PKG_USM_PAINEL.SP_MANTER_GANALISE
