Type,FullName,Label
TABLE,UBV_EQUIPAMENTO,UBV_EQUIPAMENTO
TABLE,T,T
TABLE,UBV_AREA,UBV_AREA
TABLE,UBV_OCORRENCIA_COI,UBV_OCORRENCIA_COI
TABLE,UBV_MOTIVO_OCORRENCIA,UBV_MOTIVO_OCORRENCIA
TABLE,UBV_STATUS_OCORRENCIA,UBV_STATUS_OCORRENCIA
TABLE,UBV_OBSERVACAO_OCORRENCIA,UBV_OBSERVACAO_OCORRENCIA
TABLE,UBV_TURNO,UBV_TURNO
TABLE,UBV_AREA_EMAIL,UBV_AREA_EMAIL
TABLE,APT_CARGAS,APT_CARGAS
TABLE,UBVISTA.UBV_SAFRA_DATAS_PE,UBVISTA.UBV_SAFRA_DATAS_PE
TABLE,UBV_SAFRA_DATAS_PE,UBV_SAFRA_DATAS_PE
TABLE,DUAL,DUAL
TABLE,UBV_SAFRA_DATAS,UBV_SAFRA_DATAS
TABLE,AP_METRICHISTORY,AP_METRICHISTORY
TABLE,UBVISTA.UBV_META,UBVISTA.UBV_META
TABLE,UBVISTA.SAP_ZCAN01,UBVISTA.SAP_ZCAN01
TABLE,UBV_MATERIAL_INSUMOS,UBV_MATERIAL_INSUMOS
TABLE,UBV_INSUMOS_PREVISTO,UBV_INSUMOS_PREVISTO
TABLE,UBVISTA.UBV_PLANO_SAFRA,UBVISTA.UBV_PLANO_SAFRA
TABLE,METRICA.AP_METRICHISTORY,METRICA.AP_METRICHISTORY
TABLE,METRICA.AP_METRICGROUP,METRICA.AP_METRICGROUP
TABLE,METRICA.AP_METRICDEFINITIONS,METRICA.AP_METRICDEFINITIONS
TABLE,METRICA.MES_UNIDADEMEDIDA,METRICA.MES_UNIDADEMEDIDA
TABLE,METRICA.AP_INDIC_FORMULA,METRICA.AP_INDIC_FORMULA
TABLE,METRICA.AP_GROUP,METRICA.AP_GROUP
TABLE,SAP_INSTRUCTIONSMAPPING,SAP_INSTRUCTIONSMAPPING
TABLE,SAP_MSEL,SAP_MSEL
TABLE,SAP_CHARACTERISTICS,SAP_CHARACTERISTICS
TABLE,SAP_ZCAN05,SAP_ZCAN05
TABLE,SAP_ZCAN04,SAP_ZCAN04
TABLE,UBV_INSUMOS_REAL,UBV_INSUMOS_REAL
TABLE,SAP_CRHE,SAP_CRHE
TABLE,SAP_PARADA_MOENDA,SAP_PARADA_MOENDA
TABLE,UBVISTA.SAP_PARADA_MOENDA,UBVISTA.SAP_PARADA_MOENDA
TABLE,UBV_SAFRA_CENTRO,UBV_SAFRA_CENTRO
TABLE,SAP_CRTLRECIPE_TYPE,SAP_CRTLRECIPE_TYPE
TABLE,SAP_MSHD,SAP_MSHD
TABLE,SAP_ZCAN03,SAP_ZCAN03
TABLE,UBVISTA.SAP_MSHD,UBVISTA.SAP_MSHD
TABLE,SAP_ZCAN02,SAP_ZCAN02
TABLE,UBV_META,UBV_META
TABLE,UBVISTA.UBV_REAL_SAFRA,UBVISTA.UBV_REAL_SAFRA
TABLE,UBV_INTERFACE,UBV_INTERFACE
TABLE,UBV_REAL_SAFRA,UBV_REAL_SAFRA
TABLE,SAP_CRFV,SAP_CRFV
TABLE,SAP_ZCAN01,SAP_ZCAN01
TABLE,"SAP_CRFT
CRID","SAP_CRFT
CRID"
TABLE,"SAP_CRHE
CRID","SAP_CRHE
CRID"
TABLE,[PARAM.1],[PARAM.1]
TABLE,UBV_INDICADORES,UBV_INDICADORES
TABLE,UBV_INSUMOS_PREVISTO_LOG_SAP,UBV_INSUMOS_PREVISTO_LOG_SAP
TABLE,AP_METRICDEFINITIONS,AP_METRICDEFINITIONS
TABLE,UBVISTA.UBV_SAFRA_DATAS,UBVISTA.UBV_SAFRA_DATAS
TABLE,UBVISTA.UBV_INDICADORES,UBVISTA.UBV_INDICADORES
TABLE,METRICA.AP_DASH_METRICA,METRICA.AP_DASH_METRICA
TABLE,AP_DASHBOARDS,AP_DASHBOARDS
TABLE,UBVISTA.SAP_ZCAN05,UBVISTA.SAP_ZCAN05
TABLE,PIMSCS.APT_CARGAS[PARAM.3],PIMSCS.APT_CARGAS[PARAM.3]
TABLE,PIMSCS.APT_CARGAS_REC[PARAM.3],PIMSCS.APT_CARGAS_REC[PARAM.3]
TABLE,PIMSCS.APT_CARGAS[PARAM.5],PIMSCS.APT_CARGAS[PARAM.5]
TABLE,PIMSCS.APT_CARGAS_REC[PARAM.5],PIMSCS.APT_CARGAS_REC[PARAM.5]
TABLE,PIMSCS.APT_CARGAS[PARAM.4],PIMSCS.APT_CARGAS[PARAM.4]
TABLE,PIMSCS.APT_CARGAS_REC[PARAM.4],PIMSCS.APT_CARGAS_REC[PARAM.4]
TABLE,UBVISTA.[PARAM.1],UBVISTA.[PARAM.1]
TABLE,UBV_MATERIAL,UBV_MATERIAL
TABLE,UBV_LOCAL_AMOSTRA,UBV_LOCAL_AMOSTRA
TABLE,UBV_CARACTERISTICA,UBV_CARACTERISTICA
TABLE,UBV_TIPO_ANALISE,UBV_TIPO_ANALISE
TABLE,UBV_QUALIDADE,UBV_QUALIDADE
TABLE,UBV_ANALISE,UBV_ANALISE
TABLE,UBV_ENSAIO,UBV_ENSAIO
TABLE,TAB_USUARIO,TAB_USUARIO
TABLE,UBV_QUAL_JUSTIFICATIVA,UBV_QUAL_JUSTIFICATIVA
TABLE,UBV_EQUIPAMENTO_MATERIAL,UBV_EQUIPAMENTO_MATERIAL
TABLE,UBV_UNIDADE_MEDIDA,UBV_UNIDADE_MEDIDA
TABLE,UBV_QUAL_DESVIO_SUBCATEGORIA,UBV_QUAL_DESVIO_SUBCATEGORIA
TABLE,UBV_ENSAIO_CONFIG,UBV_ENSAIO_CONFIG
TABLE,UBV_DADOS_LIMS,UBV_DADOS_LIMS
TABLE,UBV_VIGENCIA,UBV_VIGENCIA
TABLE,UBV_DADOS_LIMS_LOG,UBV_DADOS_LIMS_LOG
TABLE,UBV_ENSAIO_TAG,UBV_ENSAIO_TAG
TABLE,UBV_LOG,UBV_LOG
TABLE,UBV_QUAL_DESVIO_CATEGORIA,UBV_QUAL_DESVIO_CATEGORIA
TABLE,UBV_VARIAVEL,UBV_VARIAVEL
TABLE,UBV_FORMULA_VARIAVEL,UBV_FORMULA_VARIAVEL
TABLE,UBV_FORMULA,UBV_FORMULA
TABLE,UBV_VIGENCIA_ENSAIO,UBV_VIGENCIA_ENSAIO
TABLE,UBV_TAG_ENSAIO,UBV_TAG_ENSAIO
TABLE,UBV_TAG_ENSAIOID_AMOST,UBV_TAG_ENSAIOID_AMOST
TABLE,UBV_PAINEL_MATERIAL_SUBGRUPO,UBV_PAINEL_MATERIAL_SUBGRUPO
