Type,Label
TQSQ,SP_ExcluirEquipamento
TQSQ,SP_UpdateOcorrenciaArquivo
TQSQ,getEquipamentosSql
TQSQ,getAreas
TQSQ,SP_ExcluirComentario
TQSQ,getOcorPorAreas
TQSQ,SP_InserirEquipamento
TQSQ,getOcorPorMotivos
TQSQ,SP_ExcluirOcorrencia
TQSQ,getOcorPorStatus
TQSQ,SP_InserirComentario
TQSQ,SP_ExcluirEmail
TQSQ,Untitled
TQSQ,getComentarios
TQSQ,getTurnos
TQSQ,SP_GetOcorrencias
TQSQ,SP_InseriOcorrencia
TQSQ,getEmails
TQSQ,SP_UpdateOcorrencia
TQSQ,getStatus
TQSQ,SP_UpdateEquipamento
TQSQ,getEquipamentosCombo
TQSQ,SP_UpdateComentario
TQSQ,getOcorrenciasArquivos
TQSQ,SP_InserirEmail
TQSQ,getMotivos
TQSQ,SqlMoagemUBVFixedQuery
TQSQ,SqlMoagemUSCFixedQuery
TQSQ,SqlMoagemUSMFixedQuery
TQSQ,SqlMoagemUIRFixedQuery
TQSQ,SafraListSelectQuery
TQSQ,SafraAllSelectQuery
TQSQ,SafraInfoFimSelectQuery
TQSQ,SafraSelectQuery
TQSQ,safraPercentPESelectQuery
TQSQ,CanaHistoricoSelectQuery
TQSQ,PlanoRelatorioMetricasSelectQueryIPA
TQSQ,GrupoSelectQuery
TQSQ,PlanoRelatorioMetricasHistoricoSemanaSelectQuery
TQSQ,QueryMetricaOut
TQSQ,PlanoRelatorioMetricasHistoricoMesSelectQuery
TQSQ,PlanoRelatorioMetricasHistoricoDiaSelectQuery
TQSQ,persistirGrupo
TQSQ,QueryMetricaIn
TQSQ,InsertIndicadorGrupo
TQSQ,PlanoRelatorioMetricasSelectQuery
TQSQ,CadastroGrupoSelect
TQSQ,IntSAP_CrtlRecipe_SEL_INSTRUCTIONSMAPPING
TQSQ,Ger_Features
TQSQ,IntSAP_SistAgricola_Insert_ZCAN05
TQSQ,Ger_Data_Features
TQSQ,IntSAP_SistAgricola_Update_ZCAN04
TQSQ,InsumosRealDataSelectQuery
TQSQ,GetSchedStartOrderFixedQuery
TQSQ,IntSAP_ParadaMoenda_Insert
TQSQ,Get_Mat_Storage
TQSQ,Get_ParadaMoenda
TQSQ,Get_Calendar_NUBV_UpdateQuery
TQSQ,Get_Calendar_NUBV_SelectQuery
TQSQ,Get_Calendar_NUBV_InsertQuery
TQSQ,IntSAP_ParadaMoenda_Update
TQSQ,IntSAP_SistAgricola_Update_ZCAN05
TQSQ,Teste_Edinei
TQSQ,IntSAP_SistAgricola_Insert_ZCAN04
TQSQ,Get_Products
TQSQ,Ger_Update_SAP_MSHD
TQSQ,Ger_ReceitasControle
TQSQ,IntSAP_CrtlRecipe_SEL_CRHE
TQSQ,IntSAP_SistAgricola_Insert_ZCAN03
TQSQ,IntSAP_SAP_MSHD_Insert
TQSQ,InsumosMaterialBrowser
TQSQ,IntSAP_SistAgricola_Update_ZCAN02
TQSQ,Verif_MSID_Exist
TQSQ,Insert_Meta_Safra
TQSQ,IntSAP_SistAgricola_Update_ZCAN03
TQSQ,Ger_Update_SAP_MSEL
TQSQ,Select_Real_Safra
TQSQ,IntSAP_SistAgricola_Insert_ZCAN02
TQSQ,MonitorIntReadInterfaceList
TQSQ,Insert_Real_Safra
TQSQ,IntSAP_CrtlRecipe_Insert_CRFV
TQSQ,Select_Meta_Safra
TQSQ,IntSAP_SAP_MSEL_Insert
TQSQ,Update_Real_Safra
TQSQ,IntSAP_SistAgricola_Insert_ZCAN01
TQSQ,Update_Meta_Safra
TQSQ,IntSAP_SistAgricola_Query_ZCAN02
TQSQ,IntSAP_SistAgricola_Update_ZCAN01
TQSQ,IntSAP_CrtlRecipe_Insert_CRFT
TQSQ,IntSAP_CrtlRecipe_Update_CRHE
TQSQ,IntSAP_CrtlRecipe_Insert_CRHE
TQSQ,IntSAP_SistAgricola_Query_ZCAN05
TQSQ,Get_Calendar_UBV_InsertQuery
TQSQ,Get_Calendar_UBV_SelectQuery
TQSQ,Get_Calendar_UBV_UpdateQuery
TQSQ,IntSAP_SistAgricola_Query_ZCAN01_ZCAN03
TQSQ,Get_Tipo_Indicador
TQSQ,IntSAP_SistAgricola_Query_ZCAN04
TQSQ,MaterialBrowser
TQSQ,PlantaBrowser
TQSQ,DepositoBrowser
TQSQ,cCustoBrowser
TQSQ,SafraBrowser
TQSQ,InsertLogInterfacePrevisto
TQSQ,GetInsumosPrevistoFromSafra
TQSQ,GetSafraFromData
TQSQ,GetRealInsumoFromData
TQSQ,IndicadoresGraficoDiarioSelectQuery
TQSQ,IndicadoresSelectQuery
TQSQ,IndicadoresGraficoAcumuladoSelectQuery
TQSQ,IndicadoresGraficoSelectQuery
TQSQ,IndicadoresGridAcumuladoSelectQuery
TQSQ,SafrasSelectQuery
TQSQ,DashboardSelectQuery
TQSQ,GET_FRENTE
TQSQ,GET_ULTIMA_DATA
TQSQ,CTFazendaBrowserSelectQuery
TQSQ,ECFResumoTotalDiario
TQSQ,CTDadosLiberacao
TQSQ,CTTMResumoVeiculo
TQSQ,CTTMFazendaVeiculo
TQSQ,HistoricoSelectQuery
TQSQ,CTCaminhaoBrowserSelectQuery
TQSQ,HistoricoSelectQuery_P
TQSQ,ECResumoFrente
TQSQ,CTTempoMedioFazenda
TQSQ,ECResumoTurnoDia
TQSQ,ECFResumoHorario
TQSQ,PainelMetasMetricSelectQuery
TQSQ,RelatorioMetricasHistoricoSemanaSelectQuery
TQSQ,InsumosPrevisto
TQSQ,GraficoProjecaoMetricasDadosSelectQuery
TQSQ,RelatorioMetricasHistoricoMesSelectQuery
TQSQ,GraficoProjecaoMetricasSelectQuery
TQSQ,RelatorioMetricasHistoricoDiaSelectQuery
TQSQ,RelatorioMetricasSelectQuery
TQSQ,MonitorDigitacaoQuery
TQSQ,AnaliseForaSelectQuery
TQSQ,CaracteristicaSelectQuery
TQSQ,AnaliseForaPrintQuery
TQSQ,DesviosTurnoSelectQuery
TQSQ,AnaliseValorSelectQueryNovo
TQSQ,EnsaiosObservacoesSelectQuery
TQSQ,AnaliseSelectQuery
TQSQ,AnaliseGraficoSelectQuery
TQSQ,EDEnsaiosObservacoesSelectQuery
TQSQ,AnaliseValorSelectQuery
TQSQ,AnaliseHorasSelectQuery
TQSQ,AnaliseHorasSelectQueryNovo
TQSQ,GetIdLIMS_FixedQuery
TQSQ,GetDataImportSelectQuery
TQSQ,GetLocalByAreaMaterialEquip_SelectQuery
TQSQ,GetMaterialByArea_SelectQuery
TQSQ,GetTipoByAreaMaterialEquipLocal_SelectQuery
TQSQ,GetEnsaiosByAmostra_SelectQuery
TQSQ,GetConfig_SelectQuery
TQSQ,InsLogCommand
TQSQ,GetEquipamentByAreaMaterial_SelectQuery
TQSQ,AnalisesTagSelectQuery
TQSQ,AnalisesSelectQuery
TQSQ,TagsSelectQuery
TQSQ,EDInsertCheckSelectQuery
TQSQ,EDUpdateValor
TQSQ,EDValidacaoTurnoSelectQuery
TQSQ,EDEmailsTurnoUpdateQuery
TQSQ,EDEmailsTurnoSelectQuery
TQSQ,EDQualSubCategoriaSelectQuery
TQSQ,EDQualSubCategoriaUpdateQuery
