Type,FullName,Label
TRX,SaoMartinho/global/Transactions/XML_LOG_SEND,XML_LOG_SEND
TRX,UBV_COI/Ocorrencias/updateEquipamento,updateEquipamento
TRX,UBV_COI/Ocorrencias/deleteAnexoOcorr,deleteAnexoOcorr
TRX,UBV_COI/Ocorrencias/excluirComentario,excluirComentario
TRX,UBV_COI/Ocorrencias/excluirEmail,excluirEmail
TRX,UBV_COI/Ocorrencias/updateOcorrenciaArquivo,updateOcorrenciaArquivo
TRX,UBV_COI/Ocorrencias/deleteOcorrencia,deleteOcorrencia
TRX,UBV_COI/Ocorrencias/getOcorrencias,getOcorrencias
TRX,UBV_COI/Ocorrencias/updateComentario,updateComentario
TRX,UBV_COI/Ocorrencias/fecharTurno,fecharTurno
TRX,UBV_COI/Ocorrencias/inserirEquipamento,inserirEquipamento
TRX,UBV_COI/Ocorrencias/inserirComentario,inserirComentario
TRX,UBV_COI/Ocorrencias/inserirEmail,inserirEmail
TRX,UBV_COI/Ocorrencias/inserirOcorrencia,inserirOcorrencia
TRX,UBV_COI/Ocorrencias/getEquipamentos,getEquipamentos
TRX,UBV_COI/Ocorrencias/getOcorrenciasCSV,getOcorrenciasCSV
TRX,UBV_COI/Ocorrencias/updateOcorrencia,updateOcorrencia
TRX,UBV_COI/Ocorrencias/excluirEquipamento,excluirEquipamento
TRX,MOBILE/Transaction/TrxMoagemUsinas,TrxMoagemUsinas
TRX,MOBILE/Transaction/TrxMoagemUsinasBKP,TrxMoagemUsinasBKP
TRX,SaoMartinho/PE/Transaction/SafraCommand,SafraCommand
TRX,SaoMartinho/PE/Transaction/PlanoRelatorioPETransaction,PlanoRelatorioPETransaction
TRX,SaoMartinho/PE/Transaction/trxSafraPercentPE,trxSafraPercentPE
TRX,SaoMartinho/PE/Transaction/ComboTransaction,ComboTransaction
TRX,SaoMartinho/PE/Transaction/PlanoGraficoHistoricoPETransaction,PlanoGraficoHistoricoPETransaction
TRX,SaoMartinho/PE/Transaction/SafraInfoTransaction,SafraInfoTransaction
TRX,SaoMartinho/GDE/Transactions/ChartTransaction,ChartTransaction
TRX,SaoMartinho/GDE/Transactions/GridTransaction,GridTransaction
TRX,SaoMartinho/GDE/Transactions/GridTransactionMobile,GridTransactionMobile
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction3,PlanoRelatorioTransaction3
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction_BKP,PlanoRelatorioTransaction_BKP
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction_BKP1,PlanoRelatorioTransaction_BKP1
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction,PlanoRelatorioTransaction
TRX,SaoMartinho/SAP/NewInsumos/Ins_Upd_Insumos_Previsto,Ins_Upd_Insumos_Previsto
TRX,SaoMartinho/SAP/NewInsumos/CadastroPrevisao/safraPrevistoGetData,safraPrevistoGetData
TRX,SaoMartinho/SAP/NewInsumos/CadastroPrevisao/materiaInsumoGetMetrica,materiaInsumoGetMetrica
TRX,SaoMartinho/SAP/NewInsumos/Interfaces/UploadPrevisto,UploadPrevisto
TRX,SaoMartinho/SAP/NewInsumos/Interfaces/UploadReal,UploadReal
TRX,MES/ProduzirHardware/Transaction/AuditoriaFinalConfConsumo,AuditoriaFinalConfConsumo
TRX,SaoMartinho/SAP/Transactions/TMP_IntSAP_Prev_Real,TMP_IntSAP_Prev_Real
